Video,Label
BUISSON_202410170900_D05_clip122_start1038_399_1318_624.mp4,Lying
BUISSON_202410161200_D04_clip22_start477_576_1039_964.mp4,Feeding
BUISSON_202410161200_D04_clip28_start1333_488_1537_650.mp4,Lying
BUISSON_202410161200_D04_clip54_start1180_311_1332_457.mp4,Walking
BUISSON_202410170900_D05_clip184_start1271_481_1494_908.mp4,Feeding
BUISSON_202410170900_D05_clip184_start452_290_657_463.mp4,Standing
BUISSON_202410170900_D05_clip341_start2194_418_2403_553.mp4,Standing
BUISSON_202410171000_D04_clip173_start2114_949_2341_1304.mp4,Feeding
BUISSON_202410171000_D04_clip179_start1297_625_1547_1220.mp4,Feeding
BUISSON_202410171000_D04_clip44_start1972_424_2096_493.mp4,Lying
BUISSON_202410180900_D01_fixed_clip108_start2130_191_2243_352.mp4,Feeding
BUISSON_202410180900_D01_fixed_clip236_start1174_340_1498_695.mp4,Lying
BUISSON_202410180900_D01_fixed_clip247_start1175_344_1502_698.mp4,Lying
BUISSON_202410180900_D02_fixed_clip147_start1886_431_2151_763.mp4,Lying
BUISSON_202410180900_D02_fixed_clip309_start825_450_1137_673.mp4,Lying
BUISSON_202410180900_D04_clip133_start754_443_949_531.mp4,Lying
BUISSON_202410180900_D04_clip329_start302_274_421_324.mp4,Standing
BUISSON_202410181000_D02_fixed_clip183_start1147_426_1501_699.mp4,Lying
BUISSON_202410181000_D02_fixed_clip312_start1342_191_1438_243.mp4,Standing
BUISSON_202410181000_D02_fixed_clip312_start1705_390_1822_450.mp4,Lying
BUISSON_202410181000_D02_fixed_clip349_start375_400_619_770.mp4,Standing
BUISSON_202410181300_D04_clip208_start1263_670_1918_1034.mp4,Walking
BUISSON_202410181300_D05_clip311_start2230_566_2525_1168.mp4,Feeding
BUISSON_202410181300_D05_clip32_start2062_326_2322_563.mp4,Walking
BUISSON_202410181300_D05_clip349_start46_566_322_943.mp4,Feeding
BUISSON_202410181400_D05_clip317_start348_316_613_447.mp4,Standing
BUISSON_202410181500_D01_fixed_clip171_start354_320_762_620.mp4,Lying
BUISSON_202410181500_D01_fixed_clip210_start1395_136_1510_274.mp4,Standing
BUISSON_202410181500_D01_fixed_clip335_start737_146_815_223.mp4,Feeding
BUISSON_202410190900_D02_fixed_clip248_start1459_173_1541_300.mp4,Feeding
BUISSON_202410190900_D02_fixed_clip340_start1572_180_1654_300.mp4,Feeding
BUISSON_202410190900_D02_fixed_clip340_start417_461_610_636.mp4,Lying
BUISSON_202410190900_D02_fixed_clip47_start1804_174_1893_344.mp4,Feeding
BUISSON_202410190900_D02_fixed_clip67_start527_330_630_453.mp4,Walking
BUISSON_202410191000_D03_clip292_start464_608_649_707.mp4,Lying
BUISSON_202410191000_D03_clip87_start1622_470_1919_821.mp4,Walking
BUISSON_202410191000_D05_clip140_start654_535_859_1053.mp4,Feeding
BUISSON_202410191000_D05_clip246_start658_412_850_555.mp4,Lying
BUISSON_202410191000_D05_clip347_start2427_456_2559_612.mp4,Walking
BUISSON_202410191000_D06_clip235_start1361_205_1515_392.mp4,Feeding
BUISSON_202410191100_D03_clip470_start1105_714_1296_1149.mp4,Feeding
BUISSON_202410191100_D04_clip218_start363_499_685_920.mp4,Feeding
BUISSON_202410191100_D06_clip260_start1762_171_1863_284.mp4,Feeding
BUISSON_202410191200_D03_clip441_start1892_720_2165_1235.mp4,Feeding
BUISSON_202410191400_D04_clip129_start1538_406_1661_735.mp4,Standing
BUISSON_202410191400_D04_clip203_start1975_401_2139_520.mp4,Standing
BUISSON_202410200900_D01_fixed_clip111_start0_1081_513_1439.mp4,Lying
BUISSON_202410200900_D02_fixed_clip135_start161_469_318_599.mp4,Lying
BUISSON_202410200900_D03_clip143_start2136_476_2266_790.mp4,Standing
BUISSON_202410200900_D03_clip168_start1951_459_2142_793.mp4,Standing
BUISSON_202410200900_D03_clip236_start1935_636_2142_1087.mp4,Feeding
BUISSON_202410200900_D03_clip295_start879_391_1082_475.mp4,Standing
BUISSON_202410200900_D03_clip314_start480_596_599_714.mp4,Lying
BUISSON_202410200900_D03_clip34_start1946_456_2142_703.mp4,Standing
BUISSON_202410201000_D04_clip273_start2108_435_2266_554.mp4,Lying
BUISSON_202410201400_D04_clip126_start1148_291_1260_345.mp4,Lying
BUISSON_202410201400_D04_clip126_start2109_501_2368_793.mp4,Standing
BUISSON_202410201400_D04_clip200_start1327_513_1456_648.mp4,Lying
BUISSON_202410201400_D04_clip200_start58_481_314_760.mp4,Feeding
BUISSON_202410201400_D04_clip225_start2409_785_2559_950.mp4,Walking
BUISSON_202410201400_D04_clip354_start1356_387_1506_660.mp4,Standing
BUISSON_202410201400_D04_clip95_start729_372_987_601.mp4,Standing
BUISSON_202410210900_D02_fixed_clip256_start1557_171_1700_220.mp4,Feeding
BUISSON_202410210900_D02_fixed_clip56_start1385_185_1483_348.mp4,Feeding
BUISSON_202410211000_D02_fixed_clip106_start951_233_1037_359.mp4,Feeding
BUISSON_202410211100_D01_fixed_clip40_start882_330_1242_580.mp4,Lying
BUISSON_202410211100_D03_clip205_start1618_531_1759_718.mp4,Lying
BUISSON_202410211100_D03_clip205_start597_600_1014_774.mp4,Standing
BUISSON_202410211100_D03_clip233_start2085_715_2399_1003.mp4,Standing
BUISSON_202410211100_D03_clip237_start2230_540_2381_726.mp4,Lying
BUISSON_202410211100_D03_clip237_start419_656_628_952.mp4,Feeding
BUISSON_202410211100_D04_clip152_start1000_564_1308_1009.mp4,Feeding
BUISSON_202410211100_D04_clip15_start1182_373_1358_485.mp4,Standing
BUISSON_202410211100_D04_clip249_start2093_449_2327_615.mp4,Walking
BUISSON_202410211100_D04_clip267_start2419_591_2552_777.mp4,Lying
BUISSON_202410211100_D04_clip267_start53_450_142_519.mp4,Standing
BUISSON_202410211100_D04_clip286_start754_570_1232_889.mp4,Standing
BUISSON_202410211100_D06_clip118_start241_496_344_692.mp4,Feeding
BUISSON_202410211200_D05_clip332_start1920_285_2113_528.mp4,Standing
BUISSON_202410211200_D05_clip332_start864_530_1285_960.mp4,Feeding
BUISSON_202410211300_D01_fixed_clip151_start1774_487_2488_942.mp4,Standing
BUISSON_202410211300_D01_fixed_clip250_start194_235_255_310.mp4,Feeding
BUISSON_202410211300_D01_fixed_clip48_start472_415_1412_886.mp4,Walking
BUISSON_202410211300_D06_clip388_start301_404_497_653.mp4,Walking
BUISSON_202410211400_D06_clip181_start1493_266_1725_383.mp4,Standing
BUISSON_202410211400_D06_clip62_start1348_201_1529_329.mp4,Standing
BUISSON_202410211600_D02_fixed_clip95_start1978_180_2088_365.mp4,Feeding
BUISSON_202410211600_D03_clip200_start1619_531_1759_724.mp4,Lying
BUISSON_202410211600_D03_clip200_start1947_590_2128_739.mp4,Lying
BUISSON_202410211600_D03_clip200_start681_406_807_558.mp4,Standing
BUISSON_202410211600_D03_clip230_start1187_511_1402_714.mp4,Lying
BUISSON_202410220900_D03_clip120_start667_401_744_460.mp4,Lying
BUISSON_202410220900_D03_clip266_start1209_501_1381_700.mp4,Lying
BUISSON_202410220900_D06_clip401_start688_351_816_465.mp4,Feeding
BUISSON_202410221000_D06_clip120_start1382_280_1481_406.mp4,Standing
BUISSON_202410221000_D06_clip215_start1697_1119_2169_1439.mp4,Walking
BUISSON_202410221000_D06_clip215_start369_525_645_828.mp4,Scratching
BUISSON_202410221000_D06_clip228_start147_640_651_1274.mp4,Standing
BUISSON_202410221100_D02_fixed_clip154_start447_391_648_638.mp4,Walking
BUISSON_202410221300_D01_fixed_clip161_start1502_125_1593_203.mp4,Feeding
BUISSON_202410221300_D01_fixed_clip165_start1813_983_2559_1439.mp4,Lying
BUISSON_202410221300_D01_fixed_clip217_start880_1029_1597_1435.mp4,Lying
BUISSON_202410221300_D01_fixed_clip60_start37_275_169_374.mp4,Standing
BUISSON_202410230900_D03_clip216_start1573_703_1900_1160.mp4,Feeding
BUISSON_202410230900_D03_clip216_start223_594_588_747.mp4,Standing
BUISSON_202410230900_D03_clip54_start1681_655_1991_1069.mp4,Standing
BUISSON_202410231000_D01_fixed_clip62_start150_237_256_320.mp4,Feeding
BUISSON_202410231000_D01_fixed_clip78_start1176_271_1360_388.mp4,Lying
BUISSON_202410231100_D01_fixed_clip164_start1821_135_1917_255.mp4,Feeding
BUISSON_202410231100_D01_fixed_clip167_start2249_358_2434_610.mp4,Lying
BUISSON_202410231100_D01_fixed_clip282_start740_136_888_293.mp4,Feeding
BUISSON_202410231100_D06_clip289_start1591_616_1967_909.mp4,Lying
BUISSON_202410231100_D06_clip289_start1753_174_1890_235.mp4,Feeding
BUISSON_202410231500_D06_clip267_start1946_202_2029_284.mp4,Standing
BUISSON_202410231500_D06_clip94_start267_460_400_629.mp4,Feeding
BUISSON_202410241100_D01_fixed_clip345_start124_226_229_378.mp4,Feeding
BUISSON_202410241200_D05_clip374_start1987_540_2228_1134.mp4,Feeding
BUISSON_202410241200_D05_clip409_start570_503_931_891.mp4,Feeding
BUISSON_202410241400_D04_clip140_start153_404_228_469.mp4,Lying
BUISSON_202410241400_D04_clip225_start541_338_737_544.mp4,Standing
BUISSON_202410250900_D03_clip267_start2102_569_2273_753.mp4,Lying
BUISSON_202410250900_D04_clip154_start588_510_768_865.mp4,Feeding
BUISSON_202410251000_D02_fixed_clip137_start657_275_728_349.mp4,Walking
BUISSON_202410251000_D02_fixed_clip198_start1477_381_1959_486.mp4,Lying
BUISSON_202410251000_D02_fixed_clip305_start1003_369_1296_494.mp4,Lying
BUISSON_202410251100_D05_clip273_start107_386_257_548.mp4,Scratching
BUISSON_202410251100_D05_clip76_start1290_392_1509_555.mp4,Lying
BUISSON_202410251100_D05_clip76_start843_402_1004_562.mp4,Lying
BUISSON_202410251100_D05_clip84_start813_505_978_1056.mp4,Feeding
BUISSON_202410251200_D04_clip216_start1717_595_2175_866.mp4,Walking
BUISSON_202410251600_D05_clip193_start388_424_746_578.mp4,Standing
BUISSON_202410251600_D05_clip222_start147_474_297_592.mp4,Scratching
BUISSON_202410260900_D01_fixed_clip110_start1208_131_1396_353.mp4,Standing
BUISSON_202410261000_D03_clip119_start907_387_1052_553.mp4,Standing
BUISSON_202410261000_D03_clip126_start888_384_1085_550.mp4,Standing
BUISSON_202410261000_D03_clip152_start2018_541_2273_720.mp4,Lying
BUISSON_202410261000_D03_clip207_start2089_501_2214_732.mp4,Standing
BUISSON_202410261000_D03_clip252_start739_585_886_746.mp4,Lying
BUISSON_202410261000_D03_clip344_start554_415_631_476.mp4,Lying
BUISSON_202410261000_D03_clip97_start2303_720_2559_1047.mp4,Feeding
BUISSON_202410261100_D03_clip307_start914_336_993_469.mp4,Standing
BUISSON_202410261100_D03_clip95_start2258_574_2399_726.mp4,Lying
BUISSON_202410261200_D01_fixed_clip189_start1110_106_1180_243.mp4,Feeding
BUISSON_202410261300_D04_clip130_start1557_457_1713_562.mp4,Lying
BUISSON_202410261300_D04_clip33_start1341_446_1538_665.mp4,Lying
BUISSON_202410261300_D04_clip3_start548_230_666_304.mp4,Standing
BUISSON_202410261500_D04_clip237_start2206_743_2441_1152.mp4,Feeding
BUISSON_202410261500_D04_clip315_start1510_641_1750_1108.mp4,Feeding
BUISSON_202410261500_D04_clip335_start2129_955_2318_1343.mp4,Feeding
BUISSON_202410271200_D03_clip140_start2267_371_2441_489.mp4,Standing
BUISSON_202410271200_D03_clip150_start2321_484_2559_644.mp4,Standing
BUISSON_202410271200_D05_clip160_start1259_225_1351_346.mp4,Standing
BUISSON_202410271200_D05_clip90_start564_255_729_384.mp4,Standing
BUISSON_202410271500_D03_clip218_start2081_555_2230_629.mp4,Lying
BUISSON_202410280900_D06_clip39_start342_435_459_665.mp4,Feeding
BUISSON_202410281000_D04_clip331_start160_467_386_827.mp4,Feeding
BUISSON_202410281000_D06_clip201_start933_267_1146_400.mp4,Standing
BUISSON_202410281000_D06_clip27_start1207_226_1307_299.mp4,Feeding
BUISSON_202410281000_D06_clip32_start1582_591_1839_843.mp4,Lying
